input	node	python	rust	py_match	rust_match
file:///C:/%ZZ	C:\cwd\file:\C:\%ZZ	C:\cwd\file:\C:\%ZZ	C:\%ZZ	True	False
file:///C:/a%2Fb	C:\cwd\file:\C:\a%2Fb	C:\cwd\file:\C:\a%2Fb	C:\a\b	True	False
file://%41/share	\\a\share\	\\a\share\	\\a\share\	True	True
file:///%ZZ	C:\cwd\file:\%ZZ	C:\cwd\file:\%ZZ	C:\cwd\file:\%ZZ	True	True
file://%zz-not-a-valid-escape	C:\cwd\file:\%zz-not-a-valid-escape	C:\cwd\file:\%zz-not-a-valid-escape	C:\cwd\file:\%zz-not-a-valid-escape	True	True
file:///C:/Users/test/file.txt	C:\Users\test\file.txt	C:\Users\test\file.txt	C:\Users\test\file.txt	True	True
file://localhost/C:/Users/test/file.txt	C:\Users\test\file.txt	C:\Users\test\file.txt	C:\Users\test\file.txt	True	True
file:///c:/foo/bar	c:\foo\bar	c:\foo\bar	c:\foo\bar	True	True
file://192.168.1.5/share/file.txt	\\192.168.1.5\share\file.txt	\\192.168.1.5\share\file.txt	\\192.168.1.5\share\file.txt	True	True
file:///C:/a%20b	C:\a b	C:\a b	C:\a b	True	True
file:///C:/a%252Fb	C:\a%2Fb	C:\a%2Fb	C:\a%2Fb	True	True
file://%2541/share	C:\cwd\file:\%2541\share	C:\cwd\file:\%2541\share	C:\cwd\file:\%2541\share	True	True
file:///C:/%25ZZ	C:\%ZZ	C:\%ZZ	C:\%ZZ	True	True
file:///	C:\cwd\file:	C:\cwd\file:	C:\cwd\file:	True	True
file://	C:\cwd\file:	C:\cwd\file:	C:\cwd\file:	True	True
file:///C:/a%5Cb	C:\cwd\file:\C:\a%5Cb	C:\cwd\file:\C:\a%5Cb	C:\a\b	True	False
file:///C:/a%5cb	C:\cwd\file:\C:\a%5cb	C:\cwd\file:\C:\a%5cb	C:\a\b	True	False
file:///C:/a%2fb	C:\cwd\file:\C:\a%2fb	C:\cwd\file:\C:\a%2fb	C:\a\b	True	False
file://[::1]/C:/foo	\\[::1]\C:\foo	\\[::1]\C:\foo	C:\foo	True	False
file://./share/file	\\.\share\file	\\.\share\file	\\.\share\file	True	True
file:////host/share/file	C:\cwd\file:\host\share\file	C:\cwd\file:\host\share\file	C:\cwd\file:\host\share\file	True	True
file:///C:/%	C:\cwd\file:\C:\%	C:\cwd\file:\C:\%	C:\%	True	False
file:///C:/%2	C:\cwd\file:\C:\%2	C:\cwd\file:\C:\%2	C:\%2	True	False
file:///C%3A/foo	C:\foo	C:\foo	C:\foo	True	True
file:///C:foo	C:\cwd\foo	C:\cwd\foo	C:foo	True	False
file:///foo	C:\cwd\file:\foo	C:\cwd\file:\foo	C:\cwd\file:\foo	True	True
file:///C:/caf%C3%A9	C:\café	C:\café	C:\café	True	True
file:///C:/na%C3%AFve file.txt	C:\naïve file.txt	C:\naïve file.txt	C:\naïve file.txt	True	True
file://%25/share	C:\cwd\file:\%25\share	C:\cwd\file:\%25\share	C:\cwd\file:\%25\share	True	True
file://a%25b/share	C:\cwd\file:\a%25b\share	C:\cwd\file:\a%25b\share	C:\cwd\file:\a%25b\share	True	True
file://a.b.c/share	\\a.b.c\share\	\\a.b.c\share\	\\a.b.c\share\	True	True
file://EXAMPLE.COM/share	\\example.com\share\	\\example.com\share\	\\example.com\share\	True	True
file://a%23b/share	C:\cwd\file:\a%23b\share	C:\cwd\file:\a%23b\share	C:\cwd\file:\a%23b\share	True	True
file://a%40b/share	C:\cwd\file:\a%40b\share	C:\cwd\file:\a%40b\share	C:\cwd\file:\a%40b\share	True	True
file:///C:/%e2%98	C:\cwd\file:\C:\%e2%98	C:\cwd\file:\C:\%e2%98	C:%e2%98	True	False
