file:///C:/%ZZ	C:\cwd\file:\C:\%ZZ
file:///C:/a%2Fb	C:\cwd\file:\C:\a%2Fb
file://%41/share	\\a\share\
file:///%ZZ	C:\cwd\file:\%ZZ
file://%zz-not-a-valid-escape	C:\cwd\file:\%zz-not-a-valid-escape
file:///C:/Users/test/file.txt	C:\Users\test\file.txt
file://localhost/C:/Users/test/file.txt	C:\Users\test\file.txt
file:///c:/foo/bar	c:\foo\bar
file://192.168.1.5/share/file.txt	\\192.168.1.5\share\file.txt
file:///C:/a%20b	C:\a b
file:///C:/a%252Fb	C:\a%2Fb
file://%2541/share	C:\cwd\file:\%2541\share
file:///C:/%25ZZ	C:\%ZZ
file:///	C:\cwd\file:
file://	C:\cwd\file:
file:///C:/a%5Cb	C:\cwd\file:\C:\a%5Cb
file:///C:/a%5cb	C:\cwd\file:\C:\a%5cb
file:///C:/a%2fb	C:\cwd\file:\C:\a%2fb
file://[::1]/C:/foo	\\[::1]\C:\foo
file://./share/file	\\.\share\file
file:////host/share/file	C:\cwd\file:\host\share\file
file:///C:/%	C:\cwd\file:\C:\%
file:///C:/%2	C:\cwd\file:\C:\%2
file:///C%3A/foo	C:\foo
file:///C:foo	C:\cwd\foo
file:///foo	C:\cwd\file:\foo
file:///C:/caf%C3%A9	C:\café
file:///C:/na%C3%AFve file.txt	C:\naïve file.txt
file://%25/share	C:\cwd\file:\%25\share
file://a%25b/share	C:\cwd\file:\a%25b\share
file://a.b.c/share	\\a.b.c\share\
file://EXAMPLE.COM/share	\\example.com\share\
file://a%23b/share	C:\cwd\file:\a%23b\share
file://a%40b/share	C:\cwd\file:\a%40b\share
file:///C:/%e2%98	C:\cwd\file:\C:\%e2%98
file:///C:/%ff%fe	C:\cwd\file:\C:\%ff%fe
file://xn--bcher-kva/share	\\bücher\share\
file://xn--/share	C:\cwd\file:\xn--\share
file://xn--zzzz/share	C:\cwd\file:\xn--zzzz\share
file://xn--a/share	C:\cwd\file:\xn--a\share
file://XN--BCHER-KVA/share	\\bücher\share\
file://host\share\file	\\host\share\file
file://HOST\Share\File	\\host\Share\File
file:///C:\Users\test	C:\Users\test
file://xn--fa-hia.de/share	\\faß.de\share\
file://xn--strae-oqa.de/share	\\straße.de\share\
file://xn--zca/share	\\ß\share\
file://xn--abc-ppe/share	C:\cwd\file:\xn--abc-ppe\share
file://xn--abc-jdc/share	C:\cwd\file:\xn--abc-jdc\share
relative/path.txt	C:\cwd\relative\path.txt
file:///C:/	C:\
file:///C:	C:\cwd
file://user_name.example/share	\\user_name.example\share\
file://-leadinghyphen.example/share	\\-leadinghyphen.example\share\
file://trailinghyphen-.example/share	\\trailinghyphen-.example\share\
file://a..b/share	\\a..b\share\
file://a.b.c.d.e.f/share	\\a.b.c.d.e.f\share\
file://0.0.0.0/share	\\0.0.0.0\share\
file://256.256.256.256/share	C:\cwd\file:\256.256.256.256\share
file://1.2.3.4.5/share	C:\cwd\file:\1.2.3.4.5\share
file://[::ffff:192.168.1.1]/share	\\[::ffff:c0a8:101]\share\
file://%E2%80%8B/share	C:\cwd\file:\%E2%80%8B\share
not-a-file-url-at-all	C:\cwd\not-a-file-url-at-all
file:not-even-slashes	C:\cwd\file:not-even-slashes
file:/one/slash	C:\cwd\file:\one\slash
file://%E2%98%83.com/share	\\☃.com\share\
file://%F0%9F%92%A9.com/share	\\💩.com\share\
